"customer_id","product_id","qty_ordered"
17544,113,1.0000
17839,194,6.0000
18376,290,1.0000
17544,298,1.0000
17598,423,2.0000
17598,424,2.0000
17598,425,2.0000
17598,426,2.0000
17598,444,2.0000
17598,445,2.0000
17598,446,2.0000
17516,465,3.0000
22344,492,1.0000
21637,494,2.0000
17598,551,4.0000
17696,617,3.0000
17499,988,1.0000
17598,1007,1.0000
17598,1010,1.0000
17633,1013,2.0000
19499,1015,6.0000
18674,1016,1.0000
18089,1029,1.0000
18217,1039,1.0000
18200,1745,4.0000
42405,1757,2.0000
17734,1869,12.0000
17544,1925,12.0000
18061,2037,2.0000
17544,2040,4.0000
18217,2103,1.0000
18779,2147,2.0000
20028,2167,2.0000
17696,2792,2.0000
19118,2805,1.0000
19394,2854,1.0000
17499,3034,1.0000
17633,3035,1.0000
17499,3036,2.0000
18376,3038,2.0000
18376,3039,2.0000
17544,3040,2.0000
22500,3041,1.0000
24212,3042,1.0000
31069,3046,1.0000
18158,3047,1.0000
18755,3049,1.0000
18805,3050,2.0000
17684,3052,1.0000
17696,3053,1.0000
17860,3054,1.0000
17598,3055,1.0000
17716,3056,1.0000
18876,3057,2.0000
17860,3058,3.0000
17544,3059,1.0000
25121,3060,1.0000
17728,3061,1.0000
17962,3062,3.0000
17633,3063,1.0000
19079,3064,1.0000
19143,3065,1.0000
17728,3066,1.0000
17904,3067,1.0000
19109,3068,2.0000
18258,3069,4.0000
17633,3071,1.0000
17633,3072,1.0000
18755,3074,1.0000
17499,3075,2.0000
17904,3076,1.0000
17598,3077,1.0000
17598,3078,1.0000
17598,3079,1.0000
17544,3080,1.0000
18817,3081,1.0000
17860,3082,1.0000
17684,3085,2.0000
17860,3087,1.0000
17860,3088,1.0000
17598,3090,1.0000
21134,3091,2.0000
18563,3092,3.0000
17684,3093,1.0000
18303,3094,2.0000
18494,3095,2.0000
17839,3096,1.0000
17514,3097,1.0000
18258,3098,2.0000
17663,3099,1.0000
17734,3100,2.0000
17499,3101,2.0000
17516,3102,6.0000
17598,3104,2.0000
17598,3105,2.0000
17598,3106,2.0000
17598,3107,2.0000
17499,3108,2.0000
18258,3109,2.0000
17663,3110,1.0000
18189,3111,1.0000
17514,3113,3.0000
17734,3114,8.0000
18106,3115,3.0000
17743,3116,1.0000
17822,3117,1.0000
18303,3120,10.0000
17598,3121,2.0000
17598,3122,1.0000
17598,3123,3.0000
17638,3124,1.0000
17684,3125,1.0000
17638,3126,1.0000
18440,3127,1.0000
18369,3128,3.0000
17734,3129,4.0000
17544,3130,2.0000
17690,3131,3.0000
25576,3132,2.0000
18805,3133,1.0000
17499,3134,2.0000
17839,3135,1.0000
17839,3136,1.0000
17716,3137,2.0000
17716,3138,2.0000
117427,3139,3.0000
17684,3143,3.0000
17544,3145,1.0000
17544,3146,1.0000
17499,3147,1.0000
17544,3149,5.0000
17681,3150,7.0000
18303,3151,3.0000
18303,3153,2.0000
17633,3154,3.0000
17860,3155,2.0000
17684,3156,2.0000
17633,3157,2.0000
19095,3158,1.0000
21231,3159,1.0000
17743,3160,1.0000
17860,3161,1.0000
17633,3162,1.0000
17638,3163,1.0000
18216,3164,1.0000
18755,3165,2.0000
17633,3166,1.0000
18106,3167,6.0000
18638,3169,2.0000
17839,3170,10.0000
18805,3171,1.0000
19109,3172,3.0000
17598,3173,2.0000
17544,3175,2.0000
17544,3176,1.0000
17544,3177,2.0000
19143,3178,1.0000
18328,3179,2.0000
17684,3180,2.0000
17499,3181,1.0000
18765,3182,4.0000
17696,3183,5.0000
17962,3184,5.0000
18106,3185,2.0000
18857,3187,1.0000
17758,3188,1.0000
17638,3189,1.0000
17978,3190,1.0000
17499,3191,1.0000
17696,3192,1.0000
18608,3194,24.0000
17822,3195,1.0000
18823,3196,1.0000
18106,3198,2.0000
17544,3199,2.0000
17684,3200,3.0000
19939,3201,1.0000
17638,3202,2.0000
18817,3203,1.0000
17499,3204,1.0000
17598,3205,1.0000
17633,3206,1.0000
18189,3207,1.0000
50137,3208,1.0000
17690,3209,1.0000
17663,3210,1.0000
17514,3211,1.0000
18328,3212,1.0000
17499,3213,1.0000
17633,3214,1.0000
18411,3215,1.0000
17734,3216,6.0000
17758,3217,1.0000
17598,3218,4.0000
17544,3219,2.0000
