"item_id","product_id","customer_id","Cluster","Silhouette","order_id","SVM","SVM (C1)","SVM (C2)","SVM (C3)","SVM (C4)","SVM (C5)","Fold","qty_ordered"
"2616657.0","13774.0","31040.0","C1","0.5732851230741671","97869.0","C1","0.9837675217302242","0.0017663727111570126","0.00028788161405447565","0.00024624154237638915","0.01393198240218818",5,
"4941988.0","14282.0","17768.0","C5","0.6814478009066047","180489.0","C5","5.067816941568227e-07","6.281308398911919e-07","6.776269806431961e-07","2.9679742880061485e-07","0.9999978906630564",5,
"5077414.0","10600.0","19276.0","C5","0.6806837469591083","185929.0","C5","4.2391433888781907e-07","4.83575199845143e-07","6.062415059158832e-07","2.47746086474661e-07","0.999998238522869",5,
"4505910.0","6266.0","82862.0","C3","0.5515089816616108","163446.0","C3","0.000828102521793812","0.028659400004878426","0.9697392713047349","0.0006793437464640488","9.388242212900728e-05",5,
"2942579.0","7357.0","18779.0","C5","0.5088244834783786","108394.0","C5","0.3621263660765755","0.00020164157093091918","0.0003816818751568365","0.0007053911589535095","0.6365849193183833",5,
"4618687.0","7337.0","72982.0","C3","0.5542525877364493","167666.0","C3","0.0007701260968422099","0.044549628327922655","0.9527798020188161","0.0006267642184839591","0.0012736793379353843",5,
"5347668.0","16047.0","23915.0","C5","0.6741709711191979","196950.0","C5","2.825918428832968e-07","2.936448292966422e-07","4.926659138481511e-07","1.7053220795595005e-07","0.999998760565206",5,
"5116682.0","7927.0","41322.0","C5","0.6442282944470261","187601.0","C5","2.216884409734792e-07","2.750035569437777e-07","5.264699539447409e-07","1.516084824857914e-07","0.9999988252295656",5,
"2368203.0","1742612.0","25395.0","C4","0.6697030150892267","89384.0","C4","0.00501208858668699","0.00594636281365321","0.007439976952201273","0.977375689146458","0.004225882501000838",5,
"4502219.0","7328.0","113690.0","C3","0.5692620205662491","163336.0","C3","0.0014955331249816518","0.0005470130633700652","0.9967221297842388","0.0009049781694260273","0.0003303458579835181",5,
"4312899.0","13729.0","19863.0","C5","0.6742138597394243","155682.0","C5","4.6479547319433977e-07","8.284841591964245e-07","4.412878687570604e-07","2.4024725980619157e-07","0.9999980251852391",5,
"2483878.0","30717.0","95139.0","C2","0.6617732088597488","93362.0","C2","1.860737849784693e-06","0.9994175398745134","3.1225695954969164e-06","0.0005364803655853364","4.0996452456061934e-05",5,
"52090.0","6157.0","33028.0","C1","0.6887435364197807","2103.0","C1","0.9992154792066054","2.0961318400188164e-06","0.0003295144504225458","0.0003969303538058454","5.5979857326474075e-05",5,
"1577362.0","3507.0","30468.0","C1","0.6857062923535459","61726.0","C1","0.9998181480404883","4.4365231287142713e-07","7.107234682848275e-05","0.00010899192610977821","1.3440342608202482e-06",5,
"6013479.0","26674.0","23141.0","C5","0.647460066668715","224631.0","C5","6.474856560863007e-07","6.970000486377659e-07","1.2649386789220998e-06","4.951190667056888e-07","0.9999968954565497",5,
"3638015.0","5706.0","39844.0","C5","0.5869880828930198","131122.0","C5","3.844464430011978e-05","0.0028529039220739284","1.6169477809346505e-05","0.0002718568845115105","0.9968206250713052",5,
"587548.0","8588.0","32373.0","C1","0.7012436107211546","22554.0","C1","0.999681107102356","5.168491157099825e-07","0.00012644768702886697","0.00017937211292186084","1.2556248577381411e-05",5,
"1126141.0","24807.0","32697.0","C1","0.6990361922191599","44744.0","C1","0.9998088511447751","2.780325005440757e-07","7.214551688299299e-05","0.00011550222086948391","3.223084971508352e-06",5,
"1412721.0","6667.0","46223.0","C1","0.649970467120528","55633.0","C1","0.9996816897253845","4.010919589655457e-05","0.00012428658561697086","0.00014971716139830662","4.1973317035422366e-06",5,
"4523831.0","7360.0","76267.0","C3","0.5385561657636578","164039.0","C3","0.0007135674683345832","0.09264783765883389","0.9054936214532439","0.0006582333134975301","0.0004867401060901906",5,
"1006625.0","13762.0","21214.0","C1","0.7016317605005552","40260.0","C1","0.9996304323765144","7.034901078722538e-07","0.00016498005673921384","0.00019526376266301002","8.620313975579633e-06",5,
"5979012.0","17128.0","89717.0","C3","0.6767780110585848","223295.0","C3","0.0003243015869692489","1.995194455194136e-05","0.9990519703543372","0.0005488789466451941","5.489716749656755e-05",5,
"4155402.0","7041.0","54639.0","C5","0.5031619560227254","149679.0","C5","0.0003204694534306384","0.18563720626531793","0.005888472769804946","0.0005256580020023495","0.8076281935094444",5,
"3648952.0","13128.0","20867.0","C5","0.6322486316323788","131431.0","C5","3.466843228305471e-05","4.742755025602284e-06","8.991455637099884e-06","0.00030888721080707897","0.999642710146247",5,
"5164893.0","14829.0","19405.0","C5","0.678890501900583","189661.0","C5","4.320836679006552e-07","4.731165139236187e-07","6.376182434501098e-07","2.5521758698640545e-07","0.9999982019639878",5,
"553843.0","6841.0","31220.0","C1","0.7016609050138296","21253.0","C1","0.9996569978046033","5.737037250023818e-07","0.00013865311006036233","0.00018969099934377183","1.4084382267684567e-05",5,
"3329083.0","3275.0","19988.0","C5","0.5888413373996806","120689.0","C5","0.0023031715026823277","2.435257751530437e-05","2.4113203944549827e-05","0.0004474823657182191","0.9972008803501399",5,
"5497225.0","31713.0","103417.0","C3","0.6556154155648116","203210.0","C3","0.0005692087528496347","9.462235173238285e-06","0.9987409894402157","0.0005587569884684698","0.00012158258329276374",5,
"2217907.0","8830.0","75328.0","C2","0.6640717204374641","84568.0","C2","1.2361353143809102e-06","0.9996804291652829","9.823837935819276e-07","0.00030482311987510444","1.2529195733960696e-05",5,
"6255963.0","9722.0","33855.0","C5","0.6139555335776383","233868.0","C5","5.757260634368918e-07","8.591541306518678e-07","0.0004119616910026237","0.0003560184394841762","0.999230584989319",5,
"3080932.0","6901.0","18757.0","C5","0.541509040360277","112918.0","C5","0.07306665797953048","0.00015242018164685327","0.00021994399955555893","0.0006200162665976264","0.9259409615726693",5,
"38838.0","18364.0","22232.0","C1","0.6906609135363193","1515.0","C1","0.9986161865639466","6.005254273442751e-06","0.0006807209173135415","0.0005914710698919725","0.00010561619457416467",5,
"3560805.0","11435.0","99196.0","C2","0.6039527254524286","128451.0","C2","1.2182635679077795e-06","0.9988335143325109","0.0006914027251314904","0.00041761047492779014","5.6254203861889745e-05",5,
"6266190.0","9286.0","70897.0","C3","0.6443064884941668","234318.0","C3","0.0003456058735127633","1.562241666899697e-05","0.9990278963049304","0.000523111342775469","8.77640621127123e-05",5,
"6378481.0","29920.0","62174.0","C3","0.5957823199265497","238904.0","C3","0.0006076058800277319","2.5078653130924018e-05","0.9951841749923451","0.0006593521550719722","0.0035237883194240063",5,
