"product_id","customer_id","qty_ordered","Cluster","Silhouette","order_id","SVM","SVM (C1)","SVM (C2)","SVM (C3)","SVM (C4)","SVM (C5)","SVM (C6)","Fold"
"11696.0","19633.0","1.0","C4","0.632458113529272","150600.0","C3","0.0006706677677466642","0.00045801834552067157","0.6213911322666711","0.37685607039040536","0.0005234832809653797","0.00010062794869082215",1
"8252.0","30698.0","1.0","C3","0.6761159878887059","59532.0","C3","0.0002871733409533318","0.00021700096982375986","0.621987077757618","0.37721618345612723","0.00024050860189758365","5.2055873580325634e-05",1
"28159.0","32697.0","1.0","C3","0.6929239760959","24850.0","C3","0.00026090146706239474","0.00020281596794959888","0.6219674147074149","0.3772925376287775","0.00022418896409579587","5.21412646993748e-05",1
"7691.0","80997.0","1.0","C6","0.6594628491847995","142193.0","C6","0.0002896248166501032","0.00024648681149502387","8.777080079928852e-05","4.7165926854544306e-05","0.00030948940013557667","0.9990194622440656",1
"3716.0","28793.0","1.0","C3","0.6871230701072824","47552.0","C3","0.0003215452384499879","0.00023763097361992832","0.6218919174886703","0.37722952953372585","0.0002642518270075794","5.512493852620658e-05",1
"23713.0","33685.0","2.0","C4","0.6452630024815167","152464.0","C3","0.0003635503288959562","0.0001421922127526774","0.6212283306526026","0.3780832480960179","0.00011889543833477434","6.37832713960237e-05",1
"27276.0","31300.0","1.0","C3","0.6822281189888002","53518.0","C3","0.000278563863886752","0.00021325331470188264","0.621894967375638","0.3773250890801489","0.00023607522382316384","5.2051141801476594e-05",1
"13925.0","21682.0","1.0","C4","0.6711340689181183","193611.0","C3","0.0005513845303057165","0.00038317260097418495","0.6214355536403064","0.3771115717648405","0.000434447231859153","8.387023171390639e-05",1
"9716.0","80796.0","1.0","C6","0.600019784614545","237275.0","C6","0.0002908655537153098","0.00024628267227940647","9.058173030294383e-05","4.806589556947026e-05","0.00030914972880496873","0.9990150544193281",1
"3080.0","40406.0","2.0","C4","0.5004069293683439","110962.0","C3","0.00026601772478148636","0.00013118518007758403","0.6178369577593856","0.3815163116280201","0.00011112567492673385","0.00013840203280860892",1
"298.0","18376.0","1.0","C4","0.658957246746662","177133.0","C3","0.0007668558524692561","0.000516790959210432","0.621354642997082","0.3766529622651546","0.0005941376057493083","0.00011461032033425866",1
"4158.0","48506.0","1.0","C3","0.6666337828477027","39149.0","C3","0.0005564766260820505","0.0002710433023586352","0.6190550963620494","0.37640994232119124","0.0002661477722237986","0.0034412936160944495",1
